"cov","dr","ds","t","lspos","text"
"NN",  116.2, 996,"Nt","B","L"
"CO",   14.5,  58,"Nt","B","L"
"CO",  273.0, 569,"Nt","A","L'"
"CN",  606.9, 700,"Nt","A","L'"
"CO",  302.0,1350,"Nt","A","L'"
"NN",  377.5,1205,"Nt","B","L"
"CN",   55.2, 282,"Nt","B","L"
"CO",  217.8, 900,"Nt","B","L"
"CN",  609.8,1873,"Nt","C","LC"
"CO",  429.8,1588,"Nt","A","LC"
"CC",  124.9,1112,"Nt","A","LC"
"CC",  412.4,1339,"Nt","F","LC"
"CC", 1283.6,1989,"Nt","F","LC"
"CN", 1469.4,1437,"Nt","F","LC"
"CO",  528.5, 674,"Nt","F","LC"
"CN",  278.8, 816,"Nt","F","L"
"CN", 1251.6,1083,"Nt","C","LC"
"CO",  641.8, 697,"Nt","C","LC"
"CC",  296.2,1324,"Nt","C","LC"
"CC",  920.6, 857,"Nt","C","LC"
"CC", 1597.2,1307,"Nt","A","L"
"CN", 1216.8,1870,"Nt","A","L"
"CO",  711.5,1298,"Nt","A","L"
"CN",  598.2,1321,"Nt","A","L'"
"CC", 1460.7,1620,"Nt","A","L"
"CO",  522.7,3871,"Nt","B","L'"
"CO",  365.9,2898,"Nt","A","L'"
"CC",  345.6,2405,"Nt","A","L'"
"CC",  252.6,1565,"Nt","A","L'"
"CC",  496.6, 674,"Nt","A","L'"
"CC",  464.6, 601,"Nt","A","L'"
"CC", 1423.0,1559,"Nt","A","L'"
"CN",  697.0,1353,"Nt","A","L'"
"CN",  273.0,1359,"Nt","A","L'"
"NN",  903.1,1420,"Nt","A","L'"
"ON",    0.0,1031,"Nt","A","L'"
"CN",  493.7, 970,"Nt","A","L'"
"CN",  183.0, 366,"Nt","A","L'"
"CN",  156.8, 999,"Nt","A","L'"
"CC",  531.4, 529,"Nt","B","L"
"CN",  348.5,1022,"Nt","B","L"
"CC",  737.6,1516,"Nt","B","L"
"CC",  325.2,1771,"Nt","B","L"
"CN",  116.2,1969,"Nt","C","LC"
"CC",  290.4, 996,"Nt","A","LC"
"ON",  650.5, 816,"Nt","C","LC"
"CN",  926.4,1249,"Nt","F","LC"
"CN", 1181.9,1362,"Nt","F","LC"
"CN",  209.1, 485,"Nt","F","LC"
"CO",  737.6, 883,"Nt","F","L"
"CC", 1208.1, 961,"Nt","F","L"
"CN",  258.5, 392,"Nt","C","LC"
"CC",  653.4,1237,"Nt","C","LC"
"CN", 1123.8,1559,"Nt","C","LC"
"CC", 1211.0,1356,"Nt","A","L"
"CN", 1010.6,1739,"Nt","A","L"
"CO",  243.9,2660,"Nt","A","L"
"NN",   98.7,2039,"Nt","A","L'"
"OO",  110.4,1080,"Nt","A","L'"
"CC",  583.7, 648,"Nt","A","L"
"CO", 1815.0,1891,"Nt","A","L"
"CC",  421.1,3488,"Nt","B","L'"
"NN",  551.8,2515,"Nt","A","L'"
"CN",   75.5,1542,"Nt","B","L"
"CC",  705.7,1063,"Nt","B","L"
"CN",   14.5, 572,"Nt","B","L"
"CC",  766.7, 764,"Nt","B","L"
"CO", 1158.7,1533,"Nt","B","L"
"CO",  505.3, 560,"Nt","B","L"
"CN",  334.0, 575,"Nt","A","L'"
"CO",  502.4,1533,"Nt","A","L'"
"CO",  287.5,1989,"Nt","B","L"
"CO",  935.1,1191,"Nt","B","L"
"NN",    0.0,1051,"Nt","B","L"
"CN",  685.3,1011,"Nt","A","L'"
"CN",  238.1, 372,"Nt","B","L"
"CN",   29.0, 726,"Nt","B","L"
"CN",  360.1,1298,"Nt","B","L"
"CN",  752.1, 813,"Nt","A","L'"
"CN",   29.0,1284,"Nt","B","L"
"CO",  630.2, 810,"Nt","C","LC"
"CN",  116.2, 360,"Nt","C","LC"
"CN",  299.1, 543,"Nt","C","LC"
"CC",  935.1, 923,"Nt","F","LC"
"CN",   29.0,  44,"Nt","C","LC"
"CN",  984.5, 976,"Nt","C","LC"
"CN",  807.3, 900,"Nt","F","L"
"CC",  139.4, 197,"Nt","C","LC"
"CC", 1077.4,1147,"Nt","C","LC"
"CC",  374.6,1124,"Nt","C","LC"
"CC",  601.1,1385,"Nt","A","L"
"CN",  653.4,2195,"Nt","A","L"
"NN",  310.7,2831,"Nt","A","L"
"ON",  882.8,1859,"Nt","A","L'"
"ON",  760.8, 900,"Nt","A","L'"
"ON",   55.2,  73,"Nt","A","L'"
"CN",  119.1, 680,"Nt","A","L"
"CN",  467.5, 534,"Nt","A","L"
"NO",  319.4,3099,"CA","A","L'"
"CN",  644.7,2126,"CA","A","L'"
"CC",  630.2,1153,"CA","B","L"
"CO",  113.3, 195,"CA","B","L"
"CC",  659.2, 790,"Nt","B","L"
"CO", 1370.7,1632,"Nt","B","L"
"CC",  720.2,1647,"Nt","B","L"
"CC",  203.3, 674,"CA","B","L"
"CC",  487.9, 334,"CA","A","L'"
"CN",  148.1,1292,"Nt","A","L'"
"CO",  746.3,1644,"Nt","B","L"
